Province,Latitude,Longitude
จังหวัดอำนาจเจริญ,15.6059,104.587
จังหวัดอำนาจเจริญ,15.6019,104.5807
จังหวัดอำนาจเจริญ,15.5968,104.5792
จังหวัดอำนาจเจริญ,15.5909,104.5825
จังหวัดอำนาจเจริญ,15.5873,104.5865
จังหวัดอำนาจเจริญ,15.5668,104.5885
จังหวัดอำนาจเจริญ,15.5645,104.5873
จังหวัดอำนาจเจริญ,15.5625,104.5788
จังหวัดอำนาจเจริญ,15.5549,104.5685
จังหวัดอำนาจเจริญ,15.5547,104.5573
จังหวัดอำนาจเจริญ,15.5406,104.5495
จังหวัดอำนาจเจริญ,15.5426,104.5443
จังหวัดอำนาจเจริญ,15.5508,104.539
จังหวัดอำนาจเจริญ,15.55,104.5298
จังหวัดอำนาจเจริญ,15.5567,104.5287
จังหวัดอำนาจเจริญ,15.557,104.5242
จังหวัดอำนาจเจริญ,15.5605,104.5179
จังหวัดอำนาจเจริญ,15.5585,104.5135
จังหวัดอำนาจเจริญ,15.5628,104.5122
จังหวัดอำนาจเจริญ,15.5693,104.513
จังหวัดอำนาจเจริญ,15.585,104.5067
จังหวัดอำนาจเจริญ,15.5879,104.4972
จังหวัดอำนาจเจริญ,15.5848,104.494
จังหวัดอำนาจเจริญ,15.5927,104.4914
จังหวัดอำนาจเจริญ,15.5885,104.4835
จังหวัดอำนาจเจริญ,15.585,104.4869
จังหวัดอำนาจเจริญ,15.5833,104.484
จังหวัดอำนาจเจริญ,15.5849,104.4797
จังหวัดอำนาจเจริญ,15.587,104.4787
จังหวัดอำนาจเจริญ,15.5846,104.476
จังหวัดอำนาจเจริญ,15.5868,104.4719
จังหวัดอำนาจเจริญ,15.5854,104.4667
จังหวัดอำนาจเจริญ,15.591,104.4644
จังหวัดอำนาจเจริญ,15.5899,104.4635
จังหวัดอำนาจเจริญ,15.5916,104.4613
จังหวัดอำนาจเจริญ,15.5942,104.4612
จังหวัดอำนาจเจริญ,15.5959,104.4671
จังหวัดอำนาจเจริญ,15.5996,104.4692
จังหวัดอำนาจเจริญ,15.6028,104.469
จังหวัดอำนาจเจริญ,15.6041,104.4649
จังหวัดอำนาจเจริญ,15.6074,104.4638
จังหวัดอำนาจเจริญ,15.6099,104.4644
จังหวัดอำนาจเจริญ,15.6134,104.4688
จังหวัดอำนาจเจริญ,15.6205,104.4692
จังหวัดอำนาจเจริญ,15.6263,104.4665
